河南公司	分公司
山东公司	分公司
广西公司	分公司
安徽公司	分公司
广东公司	分公司
山西公司	分公司
上海公司	分公司
湖北公司	分公司
江西公司	分公司
湖南公司	分公司
重庆公司	分公司
四川公司	分公司
辽宁公司	分公司
海南公司	分公司
江苏公司	分公司
福建公司	分公司
黑龙江公司	分公司
甘肃公司	分公司
粤东公司	分公司
深圳公司	分公司
吉林公司	分公司
陕西公司	分公司
北京公司	分公司
总裁办	集团各中心
集团总裁办	集团各中心
信息化中心	集团各中心
财务中心	集团各中心
经营中心	集团各中心
财务审计部	集团各中心
资金中心	集团各中心
资本运营中心	集团各中心
监察中心	集团各中心
档案中心	集团各中心
打击官僚主义办公室	集团各中心
人力资源中心	集团各中心
管理及监察中心	集团各中心
预决算审计中心	集团各中心
法律事务中心	集团各中心
合同管理中心	集团各中心
知识产权中心	集团各中心
投资中心	集团各中心
国际投资中心	集团各中心
第一招投标中心	集团各中心
第二招投标中心	集团各中心
第三招投标中心	集团各中心
招投标监察中心	集团各中心
营销中心	集团各中心
营销管理中心	集团各中心
售后服务中心	集团各中心
品牌中心	集团各中心
设计成本质量控制中心	集团各中心
物业管理中心	集团各中心
互联网社区服务管理中心	集团各中心
物业服务管理中心	集团各中心
健康产业研究中心	集团各中心
香港公司	集团各中心
建筑设计院	集团各中心
装修设计院	集团各中心
材料设备公司	集团各中心
园林集团	集团各中心
文化产业集团	产业集团及下属企业
文化集团	产业集团及下属企业
商业集团	产业集团及下属企业
恒大足球学校	产业集团及下属企业
佛山恒大金属材料公司	产业集团及下属企业
广州力拓土石方工程有限公司	产业集团及下属企业
广州市越秀住宅建设有限公司	产业集团及下属企业
恒大民族歌舞团	产业集团及下属企业
足球俱乐部	产业集团及下属企业
排球俱乐部	产业集团及下属企业
深圳建设集团	产业集团及下属企业
恒合监理公司	产业集团及下属企业
恒大大方扶贫管理有限公司	产业集团及下属企业
珠三角公司	产业集团及下属企业
金融集团	产业集团及下属企业
互联网集团	产业集团及下属企业
恒大海花岛产业集团	产业集团及下属企业
恒大农牧集团	产业集团及下属企业
农牧集团	产业集团及下属企业
酒店管理集团	产业集团及下属企业
酒店集团	产业集团及下属企业
不计	不计
健康产业集团	产业集团及下属企业
恒大粮油集团	产业集团及下属企业
足排俱乐部	产业集团及下属企业
